,id,station_name
0,3.0,Powell St BART Station (Market St at 4th St)
71719,4.0,Cyril Magnin St at Ellis St
86097,5.0,Powell St BART Station (Market St at 5th St)
148218,6.0,The Embarcadero at Sansome St
210289,7.0,Frank H Ogawa Plaza
230003,8.0,The Embarcadero at Vallejo St
251238,9.0,Broadway at Battery St
271901,10.0,Washington St at Kearny St
292632,11.0,Davis St at Jackson St
316546,12.0,Pier 1/2 at The Embarcadero
323209,13.0,Commercial St at Montgomery St
343211,14.0,Clay St at Battery St
365852,15.0,San Francisco Ferry Building (Harry Bridges Plaza)
453048,16.0,Steuart St at Market St
518815,17.0,Embarcadero BART Station (Beale St at Market St)
563132,18.0,Telegraph Ave at Alcatraz Ave
568166,19.0,Post St at Kearny St
603435,20.0,Mechanics Monument Plaza (Market St at Bush St)
631640,21.0,Montgomery St BART Station (Market St at 2nd St)
715607,22.0,Howard St at Beale St
776407,23.0,The Embarcadero at Steuart St
815362,24.0,Spear St at Folsom St
845090,25.0,Howard St at 2nd St
865724,26.0,1st St at Folsom St
882185,27.0,Beale St at Harrison St
924624,28.0,The Embarcadero at Bryant St
950756,29.0,O'Farrell St at Divisadero St
957467,30.0,San Francisco Caltrain (Townsend St at 4th St)
1048712,31.0,Raymond Kimbell Playground
1059574,33.0,Golden Gate Ave at Hyde St
1067463,34.0,Father Alfred E Boeddeker Park
1074529,35.0,Cahill Park
1080092,36.0,Folsom St at 3rd St
1109002,37.0,Folsom St at 2nd St
1109003,37.0,2nd St at Folsom St
1128595,38.0,The Embarcadero at Pier 38
1132854,39.0,Scott St at Golden Gate Ave
1138316,41.0,Golden Gate Ave at Polk St
1154255,42.0,San Francisco City Hall (Polk St at Grove St)
1170753,43.0,San Francisco Public Library (Grove St at Hyde St)
1199945,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St)
1243704,46.0,San Antonio Park
1244918,47.0,4th St at Harrison St
1266977,49.0,S Park St at 3rd St
1287935,50.0,2nd St at Townsend St
1338036,51.0,Parker Ave at McAllister St
1342035,52.0,McAllister St at Baker St
1352919,53.0,Grove St at Divisadero
1364806,54.0,Alamo Square (Steiner St at Fulton St)
1374346,55.0,Webster St at Grove St
1385934,56.0,Koshland Park
1394121,58.0,Market St at 10th St
1483463,59.0,S Van Ness Ave at Market St
1507863,60.0,8th St at Ringold St
1535964,61.0,Howard St at 8th St
1573301,62.0,Victoria Manalo Draves Park
1594207,63.0,Bryant St at 6th St
1603975,64.0,5th St at Brannan St
1624337,65.0,Emeryville Depot
1624344,66.0,3rd St at Townsend St
1669150,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St)
1757872,70.0,Central Ave at Fell St
1773952,71.0,Broderick St at Oak St
1785767,72.0,Page St at Scott St
1799427,73.0,Pierce St at Haight St
1813861,74.0,Laguna St at Hayes St
1838496,75.0,Market St at Franklin St
1858158,76.0,McCoppin St at Valencia St
1876076,77.0,11th St at Natoma St
1901219,78.0,Folsom St at 9th St
1923070,79.0,7th St at Brannan St
1941482,80.0,Townsend St at 5th St
1970734,81.0,Berry St at 4th St
2055927,84.0,Duboce Park
2064645,85.0,Church St at Duboce Ave
2076904,86.0,Market St at Dolores St
2096646,87.0,Folsom St at 13th St
2107219,88.0,11th St at Bryant St
